#  T(K)  <E>    <|M|>     Szi    C(Sz)    Sxi    C(Sx)   Z1X2    X1Z2    Bell
#  ---  ------  -----    -----   -----   -----   -----   -----  ------   -----
  4.47  -0.241   0.001   0.000   0.004   0.245   0.000   0.005   0.044   0.053  
  4.47  -0.241   0.001   0.000   0.003   0.243   0.000   0.010  -0.044   0.046  
  4.46  -0.258   0.001  -0.000   0.002   0.244   0.001  -0.005   0.034   0.068  
  4.46  -0.246   0.001   0.000   0.001   0.246   0.001   0.000  -0.015   0.061  
  4.45  -0.238   0.002   0.002   0.002   0.247   0.001   0.039   0.010   0.006  
  4.45  -0.249   0.002   0.001   0.001   0.245   0.001   0.015   0.020   0.040  
  4.44  -0.259   0.000   0.000   0.003   0.245   0.001   0.005  -0.024   0.053  
  4.44  -0.240   0.002  -0.002   0.003   0.246   0.001  -0.049  -0.010   0.129  
  4.43  -0.256   0.000   0.001   0.003   0.247   0.001   0.019   0.039   0.033  
  4.43  -0.261   0.000   0.000   0.003   0.245   0.001   0.010   0.005   0.047  
  4.42  -0.251   0.001  -0.002   0.000   0.247   0.001  -0.060   0.035   0.147  
  4.42  -0.252   0.001  -0.001   0.003   0.250   0.001  -0.034  -0.005   0.111  
  4.41  -0.239   0.001   0.002   0.003   0.250   0.001   0.040   0.035   0.006  
  4.41  -0.234   0.000   0.002   0.002   0.248   0.001   0.059   0.000  -0.022  
  4.40  -0.270   0.002  -0.000   0.001   0.252   0.001  -0.005   0.010   0.069  
  4.40  -0.236   0.001   0.001   0.001   0.251   0.001   0.015   0.030   0.042  
  4.39  -0.235   0.001   0.002   0.001   0.247   0.000   0.050  -0.035  -0.009  
  4.39  -0.256   0.001  -0.000   0.004   0.242   0.001  -0.010  -0.039   0.074  
  4.38  -0.254   0.001   0.003   0.004   0.251   0.001   0.070   0.045  -0.035  
  4.38  -0.253   0.001   0.002   0.004   0.247   0.000   0.045   0.005  -0.001  
  4.37  -0.237   0.000   0.002   0.004   0.252   0.001   0.040   0.020   0.007  
  4.37  -0.242   0.001  -0.002   0.003   0.252   0.000  -0.050  -0.070   0.134  
  4.36  -0.264   0.001  -0.002   0.002   0.256   0.001  -0.055  -0.036   0.141  
  4.36  -0.260   0.001   0.000   0.004   0.250   0.001   0.000  -0.030   0.064  
  4.35  -0.231   0.000   0.001   0.002   0.254   0.000   0.015  -0.005   0.043  
  4.35  -0.253   0.000   0.000   0.001   0.252   0.000   0.010  -0.030   0.049  
  4.34  -0.263   0.001  -0.000   0.004   0.252   0.001  -0.010  -0.050   0.078  
  4.34  -0.262   0.000   0.000   0.005   0.254   0.001   0.010   0.041   0.052  
  4.33  -0.256   0.001   0.001   0.002   0.250   0.000   0.020   0.035   0.035  
  4.33  -0.244   0.001   0.000   0.004   0.254   0.001   0.010   0.005   0.051  
  4.32  -0.259   0.000  -0.001   0.002   0.255   0.000  -0.030  -0.046   0.108  
  4.32  -0.243   0.000   0.002   0.002   0.248   0.001   0.045  -0.015  -0.001  
  4.31  -0.260   0.001   0.001  -0.000   0.256   0.000   0.015   0.020   0.044  
  4.31  -0.261   0.002   0.001   0.004   0.258   0.000   0.015   0.062   0.045  
  4.30  -0.260   0.001  -0.001   0.002   0.252   0.000  -0.031  -0.060   0.108  
  4.30  -0.261   0.002   0.002   0.004   0.255   0.000   0.041   0.036   0.007  
