#   n   1/n    <E>    <|M|>     Szi    C(Sz)    Sxi    C(Sx)   Z1X2    X1Z2    Bell
#  ---  ----  ------  -----    -----   -----   -----   -----   -----  ------   -----
  123    0.008  -0.211   0.011  -0.001   0.001   0.214   0.000  -0.037   0.002   0.098
  124    0.008  -0.226   0.011  -0.001   0.001   0.218   0.000  -0.024  -0.035   0.080
  125    0.008  -0.226   0.011   0.001  -0.000   0.218   0.000   0.037  -0.023  -0.004
  126    0.008  -0.225   0.011  -0.001   0.002   0.210   0.000  -0.014   0.010   0.065
  127    0.008  -0.226   0.011   0.001   0.001   0.211   0.001   0.032   0.018   0.000
  128    0.008  -0.209   0.011  -0.002   0.002   0.216   0.001  -0.043  -0.017   0.106
  129    0.008  -0.203   0.010  -0.001   0.002   0.218   0.001  -0.019  -0.015   0.074
  130    0.008  -0.211   0.011  -0.001   0.003   0.214   0.000  -0.033  -0.007   0.092
  131    0.008  -0.228   0.010   0.001   0.002   0.217   0.001   0.021   0.008   0.017
  132    0.008  -0.207   0.010   0.000   0.003   0.213   0.000   0.013   0.013   0.028
  133    0.008  -0.223   0.010   0.000   0.001   0.215   0.000   0.002  -0.040   0.044
  134    0.007  -0.215   0.010   0.000   0.002   0.215   0.000   0.000   0.019   0.046
  135    0.007  -0.220   0.010   0.000   0.003   0.215   0.000   0.002  -0.011   0.044
  136    0.007  -0.221   0.010  -0.000   0.002   0.215   0.000  -0.003  -0.038   0.050
  137    0.007  -0.213   0.010  -0.000   0.002   0.212   0.000  -0.008   0.011   0.057
  138    0.007  -0.210   0.010  -0.001   0.001   0.214   0.000  -0.019  -0.025   0.073
  139    0.007  -0.224   0.010   0.001   0.002   0.214   0.000   0.026   0.026   0.009
  140    0.007  -0.213   0.010  -0.000   0.001   0.213   0.000  -0.012  -0.018   0.063
  141    0.007  -0.218   0.009   0.000   0.001   0.218   0.000   0.002   0.023   0.045
  142    0.007  -0.210   0.009   0.000   0.002   0.214   0.001   0.000  -0.009   0.047
  143    0.007  -0.214   0.010  -0.000   0.002   0.212   0.000  -0.008   0.001   0.056
  144    0.007  -0.208   0.009   0.000   0.002   0.215   0.000   0.003   0.027   0.043
  145    0.007  -0.217   0.009   0.000   0.002   0.218   0.001   0.001  -0.041   0.045
  146    0.007  -0.204   0.009  -0.000   0.001   0.215   0.000  -0.014  -0.026   0.066
  147    0.007  -0.223   0.009  -0.000   0.001   0.213   0.000  -0.001  -0.013   0.048
  148    0.007  -0.213   0.009   0.000   0.001   0.211   0.000   0.000  -0.014   0.046
  149    0.007  -0.210   0.009  -0.000   0.000   0.215   0.000  -0.007  -0.019   0.056
  150    0.007  -0.211   0.009  -0.001   0.002   0.213   0.000  -0.020  -0.014   0.073
  151    0.007  -0.207   0.009   0.001   0.001   0.216   0.000   0.025   0.010   0.013
  152    0.007  -0.205   0.009  -0.002   0.001   0.213   0.000  -0.059  -0.020   0.130
  153    0.007  -0.206   0.009  -0.001   0.000   0.212   0.000  -0.024  -0.004   0.080
  154    0.006  -0.204   0.009  -0.001   0.001   0.212   0.000  -0.030  -0.014   0.088
  155    0.006  -0.222   0.009  -0.000   0.001   0.214   0.000  -0.001   0.007   0.049
  156    0.006  -0.211   0.008   0.000   0.001   0.214   0.000   0.000   0.014   0.047
  157    0.006  -0.214   0.009   0.001   0.002   0.212   0.000   0.037   0.015  -0.006
  158    0.006  -0.206   0.008  -0.001   0.002   0.211   0.000  -0.027  -0.005   0.084
  159    0.006  -0.213   0.008  -0.000   0.002   0.217   0.000  -0.015  -0.004   0.067
  160    0.006  -0.223   0.008   0.000   0.002   0.214   0.000   0.000  -0.029   0.046
