# i = 19	j = 20
# T(K)   <E>   |<M>|   Szi   SziSzj  Corr(Szi,Szj)
# ---  ------  -----  -----  ------  -------------
 4.05  -0.549  0.003  0.004  0.009  0.273  0.001  0.039  0.070  0.021
 4.04  -0.550  0.002  0.002  0.006  0.278  0.002  0.024  -0.071  0.046
 4.03  -0.553  0.001  0.006  0.012  0.283  0.003  0.055  0.057  0.003
 4.02  -0.555  0.002  -0.007  -0.001  0.284  0.001  -0.072  -0.008  0.182
 4.01  -0.557  0.002  0.001  0.014  0.272  0.003  0.008  -0.070  0.068
 4.00  -0.556  0.002  -0.009  0.006  0.283  0.002  -0.088  0.040  0.206
 3.99  -0.559  0.002  0.004  0.012  0.282  0.002  0.040  0.040  0.024
 3.98  -0.559  0.002  -0.007  0.004  0.274  0.002  -0.073  0.008  0.183
 3.97  -0.562  0.004  0.006  0.014  0.280  0.002  0.057  0.072  0.001
 3.96  -0.566  0.000  0.007  0.004  0.291  0.002  0.072  0.025  -0.018
 3.95  -0.567  0.000  -0.001  0.002  0.287  0.001  -0.008  0.025  0.095
 3.94  -0.566  0.004  -0.001  0.014  0.276  0.001  -0.008  0.008  0.091
 3.93  -0.569  0.002  0.001  0.007  0.285  0.003  0.008  0.024  0.072
 3.92  -0.571  0.003  -0.002  0.012  0.291  0.002  -0.025  -0.058  0.120
 3.91  -0.578  0.002  0.011  -0.002  0.288  0.002  0.106  -0.074  -0.065
 3.90  -0.576  0.001  0.009  0.004  0.284  0.003  0.090  0.105  -0.043
 3.89  -0.576  0.002  -0.006  0.009  0.292  0.001  -0.058  -0.092  0.169
 3.88  -0.580  0.000  0.004  0.006  0.292  0.003  0.041  -0.025  0.029
 3.87  -0.582  0.002  0.007  0.004  0.288  0.002  0.077  -0.008  -0.021
 3.86  -0.585  0.001  -0.004  0.009  0.298  0.001  -0.042  -0.111  0.149
 3.85  -0.584  0.005  -0.011  0.014  0.293  0.002  -0.111  -0.126  0.247
 3.84  -0.588  0.005  -0.006  0.007  0.292  0.001  -0.058  -0.075  0.168
 3.83  -0.587  0.001  0.004  0.004  0.287  0.002  0.041  -0.008  0.026
 3.82  -0.589  0.001  0.004  0.004  0.295  0.002  0.042  0.025  0.029
 3.81  -0.592  0.002  0.002  0.011  0.299  0.003  0.025  0.043  0.055
 3.80  -0.593  0.002  0.011  0.011  0.295  0.001  0.110  0.025  -0.067
 3.79  -0.595  0.000  -0.002  0.002  0.295  0.002  -0.025  -0.025  0.124
 3.78  -0.598  0.003  0.009  0.015  0.291  0.003  0.093  0.125  -0.042
 3.77  -0.601  0.001  -0.002  0.007  0.298  0.003  -0.026  0.026  0.129
 3.76  -0.602  0.004  0.007  0.007  0.306  0.003  0.079  -0.079  -0.014
 3.75  -0.604  0.003  -0.002  0.011  0.306  0.002  -0.026  -0.044  0.132
 3.74  -0.607  0.003  -0.006  0.012  0.305  0.002  -0.060  0.009  0.180
 3.73  -0.608  0.003  -0.007  0.012  0.296  0.003  -0.077  0.059  0.200
 3.72  -0.610  0.002  0.004  -0.001  0.305  0.002  0.043  0.044  0.033
 3.71  -0.614  0.003  -0.004  0.002  0.299  0.002  -0.043  0.094  0.155
 3.70  -0.614  0.002  0.004  0.017  0.308  0.002  0.044  0.026  0.035
 3.69  -0.616  0.002  0.001  0.011  0.308  0.002  0.009  0.062  0.084
 3.68  -0.619  0.007  0.001  0.012  0.308  0.003  0.009  -0.097  0.085
 3.67  -0.620  0.002  -0.001  0.016  0.301  0.002  -0.009  0.060  0.111
 3.66  -0.620  0.003  -0.002  0.017  0.306  0.003  -0.026  -0.009  0.133
 3.65  -0.625  0.006  0.011  0.004  0.321  0.004  0.117  -0.009  -0.061
 3.64  -0.628  0.006  0.001  0.009  0.308  0.002  0.009  0.044  0.088
 3.63  -0.632  0.005  0.009  0.006  0.313  0.002  0.102  0.063  -0.041
 3.62  -0.631  0.001  0.004  0.009  0.311  0.003  0.044  -0.062  0.036
 3.61  -0.631  0.001  0.009  0.006  0.315  0.003  0.098  0.099  -0.037
 3.60  -0.635  0.002  -0.004  0.011  0.319  0.003  -0.046  0.082  0.169
 3.59  -0.637  0.000  0.002  0.012  0.316  0.002  0.027  0.027  0.063
 3.58  -0.642  0.001  0.012  0.009  0.317  0.002  0.138  -0.082  -0.092
 3.57  -0.645  0.000  0.004  0.006  0.319  0.002  0.046  0.119  0.040
 3.56  -0.645  0.006  0.017  0.015  0.319  0.003  0.194  0.155  -0.168
 3.55  -0.644  0.008  0.004  0.004  0.324  0.002  0.046  -0.083  0.042
 3.54  -0.654  0.006  -0.001  0.017  0.327  0.003  -0.010  0.047  0.126
 3.53  -0.652  0.003  -0.014  0.010  0.322  0.002  -0.157  -0.138  0.328
 3.52  -0.655  0.003  -0.001  0.014  0.325  0.003  -0.009  0.009  0.122
 3.51  -0.661  0.002  0.006  0.007  0.333  0.003  0.066  0.010  0.019
 3.50  -0.660  0.003  0.004  0.016  0.331  0.003  0.046  -0.028  0.045
 3.49  -0.663  0.003  0.011  0.011  0.331  0.004  0.121  0.066  -0.060
 3.48  -0.664  0.007  0.006  0.012  0.331  0.002  0.067  -0.047  0.018
 3.47  -0.669  0.004  -0.016  0.020  0.338  0.003  -0.183  -0.164  0.375
 3.46  -0.670  0.004  -0.007  0.006  0.336  0.003  -0.087  0.067  0.239
 3.45  -0.672  0.000  0.004  0.015  0.335  0.003  0.048  0.048  0.047
 3.44  -0.672  0.006  0.001  0.012  0.343  0.003  0.010  0.049  0.106
 3.43  -0.679  0.009  0.001  0.014  0.340  0.002  0.010  -0.010  0.102
 3.42  -0.683  0.006  -0.001  0.012  0.344  0.003  -0.010  -0.088  0.136
 3.41  -0.686  0.002  0.011  -0.004  0.348  0.002  0.124  0.010  -0.057
 3.40  -0.686  0.009  -0.020  0.015  0.346  0.003  -0.246  -0.168  0.471
 3.39  -0.688  0.009  -0.006  0.011  0.340  0.002  -0.069  -0.010  0.216
 3.38  -0.693  0.005  -0.009  0.009  0.347  0.003  -0.108  -0.149  0.276
 3.37  -0.694  0.002  -0.011  0.014  0.346  0.003  -0.125  -0.148  0.295
