# T(K)  <E>    <|M|>     Szi    C(Sz)    Sxi    C(Sx)   Z1X2    X1Z2    Bell
# ---  ------  -----    -----   -----   -----   -----   -----  ------   -----
 4.07  -0.253   0.001   0.004   0.013   0.273   0.002   0.038   0.127   0.026
 4.06  -0.235   0.003  -0.016   0.009   0.277   0.002  -0.130  -0.074   0.263
 4.05  -0.256   0.009   0.002   0.016   0.273   0.001   0.019  -0.055   0.051
 4.04  -0.269   0.002   0.007   0.013   0.275   0.001   0.055   0.073  -0.001
 4.03  -0.272   0.004  -0.013   0.009   0.268   0.002  -0.112  -0.018   0.234
 4.02  -0.252   0.003   0.002   0.013   0.278   0.001   0.019  -0.074   0.052
 4.01  -0.318   0.005   0.004   0.016   0.282   0.002   0.038   0.038   0.029
 4.00  -0.247   0.005  -0.004   0.004   0.272   0.002  -0.037  -0.091   0.132
 3.99  -0.292   0.003  -0.004   0.013   0.285   0.002  -0.037  -0.133   0.133
 3.98  -0.322   0.001  -0.007  -0.000   0.284   0.002  -0.056  -0.076   0.162
 3.97  -0.261   0.000   0.007   0.005   0.283   0.002   0.056  -0.075   0.002
 3.96  -0.346   0.004   0.004   0.013   0.284   0.003   0.039  -0.133   0.030
 3.95  -0.294   0.005   0.007   0.011   0.282   0.002   0.057   0.094   0.002
 3.94  -0.285   0.004   0.009   0.011   0.287   0.002   0.075   0.038  -0.023
 3.93  -0.252   0.004  -0.004   0.002   0.276   0.002  -0.039   0.000   0.137
 3.92  -0.295   0.008   0.011   0.011   0.289   0.002   0.095   0.096  -0.050
 3.91  -0.220   0.003  -0.002   0.013   0.290   0.002  -0.019   0.039   0.113
 3.90  -0.275   0.006   0.009   0.011   0.286   0.003   0.078   0.000  -0.024
 3.89  -0.243   0.000  -0.002   0.002   0.287   0.002  -0.019  -0.019   0.113
 3.88  -0.300   0.004   0.000   0.009   0.297   0.003   0.000   0.020   0.089
 3.87  -0.337   0.002  -0.004   0.011   0.288   0.004  -0.039  -0.077   0.141
 3.86  -0.297   0.002  -0.002   0.009   0.295   0.004  -0.020  -0.079   0.118
 3.85  -0.321   0.004  -0.009   0.004   0.294   0.002  -0.077  -0.020   0.196
 3.84  -0.302   0.003   0.009   0.007   0.292   0.002   0.077   0.039  -0.022
 3.83  -0.329   0.006   0.007   0.009   0.289   0.002   0.059   0.000   0.004
 3.82  -0.327   0.006   0.002   0.007   0.291   0.002   0.020  -0.058   0.059
 3.81  -0.359   0.004   0.007   0.007   0.297   0.002   0.058   0.020   0.006
 3.80  -0.328   0.001  -0.009   0.013   0.294   0.002  -0.079  -0.098   0.201
 3.79  -0.300   0.004   0.002   0.013   0.302   0.002   0.020  -0.040   0.065
 3.78  -0.313   0.006   0.007   0.020   0.299   0.002   0.060   0.060   0.007
 3.77  -0.296   0.009  -0.013   0.002   0.302   0.002  -0.119   0.000   0.260
 3.76  -0.277   0.007   0.009   0.009   0.302   0.003   0.081   0.020  -0.020
 3.75  -0.337   0.005  -0.009   0.009   0.302   0.003  -0.082   0.020   0.211
 3.74  -0.259   0.003  -0.002   0.018   0.307   0.003  -0.020   0.000   0.124
 3.73  -0.319   0.001  -0.004   0.013   0.300   0.003  -0.041  -0.100   0.152
 3.72  -0.271   0.002   0.007   0.016   0.300   0.002   0.061   0.020   0.007
 3.71  -0.335   0.001  -0.011   0.002   0.311   0.003  -0.102   0.104   0.243
 3.70  -0.273   0.001  -0.007   0.016   0.301   0.003  -0.062   0.020   0.184
 3.69  -0.305   0.005  -0.007   0.002   0.312   0.003  -0.064   0.104   0.192
 3.68  -0.298   0.003   0.007   0.009   0.316   0.003   0.062   0.127   0.014
 3.67  -0.320   0.000   0.004   0.013   0.309   0.002   0.041   0.062   0.039
 3.66  -0.248   0.001   0.004   0.004   0.314   0.003   0.041   0.021   0.042
 3.65  -0.272   0.005  -0.004   0.004   0.309   0.003  -0.041  -0.021   0.156
 3.64  -0.270   0.003  -0.013   0.011   0.313   0.003  -0.126  -0.125   0.280
 3.63  -0.334   0.008  -0.002   0.009   0.314   0.002  -0.021  -0.042   0.132
 3.62  -0.326   0.003  -0.007   0.009   0.314   0.003  -0.064   0.042   0.195
 3.61  -0.278   0.002  -0.004   0.011   0.324   0.003  -0.042  -0.086   0.163
 3.60  -0.319   0.000  -0.011   0.018   0.313   0.003  -0.106  -0.167   0.252
 3.59  -0.311   0.001  -0.011   0.018   0.320   0.004  -0.106   0.043   0.255
 3.58  -0.267   0.002   0.000   0.007   0.321   0.003   0.000   0.043   0.105
 3.57  -0.328   0.001  -0.007   0.013   0.326   0.002  -0.065   0.000   0.200
 3.56  -0.325   0.004   0.002   0.007   0.322   0.003   0.022   0.021   0.076
 3.55  -0.288   0.011   0.007   0.009   0.322   0.003   0.064   0.129   0.015
 3.54  -0.347   0.002   0.016   0.013   0.336   0.003   0.154   0.224  -0.104
 3.53  -0.308   0.004  -0.024   0.011   0.325   0.003  -0.242  -0.065   0.452
 3.52  -0.321   0.001   0.000   0.009   0.336   0.003   0.000   0.067   0.112
 3.51  -0.314   0.006   0.000   0.013   0.331   0.003   0.000   0.022   0.112
 3.50  -0.314   0.003   0.004   0.018   0.332   0.003   0.044   0.022   0.051
 3.49  -0.364   0.002  -0.013   0.011   0.331   0.004  -0.136  -0.132   0.308
 3.48  -0.367   0.002   0.000   0.004   0.337   0.003   0.000   0.022   0.114
 3.47  -0.271   0.007  -0.004   0.015   0.334   0.002  -0.044  -0.134   0.176
 3.46  -0.312   0.006  -0.004  -0.002   0.338   0.003  -0.044  -0.045   0.177
 3.45  -0.327   0.004   0.002   0.004   0.337   0.003   0.022   0.045   0.084
 3.44  -0.395   0.012   0.007   0.011   0.338   0.003   0.067   0.248   0.022
 3.43  -0.351   0.001  -0.004   0.011   0.345   0.004  -0.046   0.046   0.188
 3.42  -0.320   0.003   0.002   0.018   0.339   0.004   0.023  -0.045   0.087
 3.41  -0.365   0.013   0.007  -0.002   0.333   0.004   0.067   0.067   0.021
 3.40  -0.387   0.001   0.011   0.013   0.344   0.004   0.115   0.092  -0.040
 3.39  -0.408   0.009  -0.013   0.011   0.343   0.003  -0.138  -0.183   0.316
 3.38  -0.373   0.008  -0.011   0.018   0.346   0.004  -0.118  -0.046   0.293
 3.37  -0.313   0.007   0.011   0.007   0.349   0.003   0.117   0.023  -0.040
 3.36  -0.360   0.002   0.000   0.018   0.354   0.003   0.000   0.024   0.125
 3.35  -0.331   0.002   0.011   0.011   0.355   0.003   0.121  -0.024  -0.039
 3.34  -0.337   0.003  -0.002   0.004   0.354   0.003  -0.024  -0.094   0.162
